Brand,Name,Status,Guarantee,Color,Capacity,Origin,Location,Price
Apple,iPhone 7,Đã sử dụng (chưa sửa chữa),Hết bảo hành,Đen bóng - Jet black,32 GB,Đang cập nhật,"Phường Tân Mai, Quận Hoàng Mai, Hà Nội",1.200.000
Apple,iPhone XS,Đã sử dụng (chưa sửa chữa),Hết bảo hành,Vàng,256 GB,Đang cập nhật,"Phường 1, Quận Gò Vấp, Tp Hồ Chí Minh",4.000.000
Oppo,A92,Đã sử dụng (chưa sửa chữa),Hết bảo hành,Tím,128 GB,Việt Nam,"Xã Long Khê, Huyện Cần Đước, Long An",1.450.000
LG,V60 ThinQ,Đã sử dụng (chưa sửa chữa),7-12 tháng,Xanh dương,128 GB,Nhật Bản,"Phường Bình Hiên, Quận Hải Châu, Đà Nẵng",2.790.000
Xiaomi,Redmi Note 12,Đã sử dụng (chưa sửa chữa),Bảo hành hãng,Đen,128 GB,Đang cập nhật,Đường Chiến Thắng,1.950.000
Huawei,Dòng khác,Đã sử dụng (chưa sửa chữa),Còn bảo hành,Màu khác,512 GB,Đang cập nhật,"Phường 2, Quận Tân Bình, Tp Hồ Chí Minh",34.850.000
Apple,iPhone 15,Đã sử dụng (chưa sửa chữa),4-6 tháng,Hồng,256 GB,Hàn Quốc,"Phường Cát Bi, Quận Hải An, Hải Phòng",16.590.000
Samsung,Galaxy S7,Đã sử dụng (chưa sửa chữa),Bảo hành hãng,Đen bóng - Jet black,32 GB,Đang cập nhật,"Phường 15, Quận 8, Tp Hồ Chí Minh",700.000
Samsung,Galaxy A7,Đã sử dụng (chưa sửa chữa),Bảo hành hãng,Đang cập nhật,In trên bao bì,,"Phường Hòa An, Quận Cẩm Lệ, Đà Nẵng",1.350.000
OnePlus,Ace,Đã sử dụng (chưa sửa chữa),3 tháng,Tím,256 GB,Nước khác,"Phường 5, Quận 11, Tp Hồ Chí Minh",6.150.000
Samsung,Galaxy S7,Đã sử dụng (chưa sửa chữa),Bảo hành hãng,Đen bóng - Jet black,32 GB,Đang cập nhật,"Phường 15, Quận 8, Tp Hồ Chí Minh",700.000
Samsung,Galaxy A7,Đã sử dụng (chưa sửa chữa),Bảo hành hãng,Đang cập nhật,In trên bao bì,,"Phường Hòa An, Quận Cẩm Lệ, Đà Nẵng",1.350.000
OnePlus,Ace,Đã sử dụng (chưa sửa chữa),3 tháng,Tím,256 GB,Nước khác,"Phường 5, Quận 11, Tp Hồ Chí Minh",6.150.000
Vivo,Dòng khác,Đã sử dụng (chưa sửa chữa),Bảo hành hãng,Trắng,256 GB,Đang cập nhật,"Phường Thường Thạnh, Quận Cái Răng, Cần Thơ",14.000.000
Apple,iPhone XR,Đã sử dụng (chưa sửa chữa),Hết bảo hành,Vàng hồng,64 GB,Việt Nam,"Phường Tân Hiệp, Thành phố Biên Hòa, Đồng Nai",2.600.000
Apple,iPhone 12 Pro Max,Đã sử dụng (chưa sửa chữa),Còn bảo hành,Đen,256 GB,Đang cập nhật,"Phường 5, Quận 3, Tp Hồ Chí Minh",8.500.000
Apple,iPhone 12 Pro Max,Đã sử dụng (chưa sửa chữa),Còn bảo hành,Xanh dương,128 GB,Đang cập nhật,"Phường Hiệp Bình Chánh (Quận Thủ Đức cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh",7.200.000
Xiaomi,Mi Mix 3,Đã sử dụng (chưa sửa chữa),Bảo hành hãng,Đen,128 GB,Việt Nam,"Phường 2, Quận 11, Tp Hồ Chí Minh",2.450.000
Xiaomi,Redmi Note 11,Đã sử dụng (chưa sửa chữa),1 tháng,Xanh dương,64 GB,Việt Nam,"Phường An Hòa, Quận Ninh Kiều, Cần Thơ",1.999.999
Samsung,Galaxy S21 FE,Đã sử dụng (chưa sửa chữa),Còn bảo hành,Xám,128 GB,Việt Nam,"Phường Hiệp Tân, Quận Tân Phú, Tp Hồ Chí Minh",5.000.000
Apple,iPhone 15 Pro Max,Đã sử dụng (chưa sửa chữa),Còn bảo hành,Xanh dương,256 GB,Việt Nam,"Phường Phước Ninh, Quận Hải Châu, Đà Nẵng",20.990.000
Apple,iPhone XS,Đã sử dụng (chưa sửa chữa),Bảo hành hãng,Màu khác,64 GB,Đang cập nhật,"Phường 10, Quận Gò Vấp, Tp Hồ Chí Minh",3.900.000
Xiaomi,Redmi Note 13,Đã sử dụng (chưa sửa chữa),Bảo hành hãng,Đen,128 GB,Đang cập nhật,"Phường Trương Định, Quận Hai Bà Trưng, Hà Nội",3.050.000
Xiaomi,Redmi Note 8,Đã sử dụng (chưa sửa chữa),Bảo hành hãng,Trắng,32 GB,Đang cập nhật,Hẻm 325 Kênh Tân Hóa,800.000
Apple,iPhone XS Max,Đã sử dụng (chưa sửa chữa),Bảo hành hãng,Vàng,64 GB,Đang cập nhật,"Phường Mai Dịch, Quận Cầu Giấy, Hà Nội",4.999.999
Apple,iPhone X,Đã sử dụng (chưa sửa chữa),Còn bảo hành,Trắng,64 GB,Mỹ,1160 phạm văn đồng,3.000.000
Huawei,Mate 20 Pro,Đã sử dụng (chưa sửa chữa),Hết bảo hành,Đỏ,128 GB,Việt Nam,"Phường 15, Quận Tân Bình, Tp Hồ Chí Minh",2.990.000
Apple,iPhone XS,Mới,Bảo hành hãng,Vàng,64 GB,Mỹ,"Phường 5, Quận Phú Nhuận, Tp Hồ Chí Minh",3.550.000
Apple,iPhone 13 Pro Max,Đã sử dụng (chưa sửa chữa),Hết bảo hành,Trắng,128 GB,Việt Nam,"Phường An Hòa, Quận Ninh Kiều, Cần Thơ",12.500.000
Samsung,Galaxy Z Fold4,Đã sử dụng (chưa sửa chữa),Còn bảo hành,Đen,256 GB,Đang cập nhật,"Phường Bình Khánh, Thành phố Long Xuyên, An Giang",11.700.000
Apple,iPhone 12 Pro Max,Đã sử dụng (chưa sửa chữa),Còn bảo hành,Vàng,256 GB,Mỹ,463b Cmt8,8.500.000
Apple,iPhone 14 Pro,Đã sử dụng (chưa sửa chữa),4-6 tháng,Trắng,128 GB,Mỹ,"Phường Tân Định, Quận 1, Tp Hồ Chí Minh",16.500.000
Apple,iPhone 14 Pro Max,Đã sử dụng (chưa sửa chữa),Bảo hành hãng,Màu khác,256 GB,Việt Nam,"Phường 5, Quận Phú Nhuận, Tp Hồ Chí Minh",12.900.000
Xiaomi,Dòng khác,Đã sử dụng (chưa sửa chữa),Bảo hành hãng,Vàng,256 GB,Đang cập nhật,"Phường Hòa Phát, Quận Cẩm Lệ, Đà Nẵng",5.250.000
Apple,iPhone XR,Mới,Còn bảo hành,Màu khác,64 GB,Việt Nam,"Phường Hòa Khê, Quận Thanh Khê, Đà Nẵng",3.500.000
Oppo,Reno 2/2F,Đã sử dụng (chưa sửa chữa),Hết bảo hành,Xanh dương,256 GB,Nước khác,"Phường 10, Thành phố Vũng Tàu, Bà Rịa - Vũng Tàu",1.650.000
Samsung,Galaxy Note 10 Plus,Đã sử dụng (chưa sửa chữa),Bảo hành hãng,Xanh dương,256 GB,Việt Nam,"Phường Phúc Lợi, Quận Long Biên, Hà Nội",5.255.558
Apple,iPhone 14 Pro Max,Đã sử dụng (chưa sửa chữa),7-12 tháng,Màu khác,128 GB,Mỹ,451/17 Lê Quang Định,15.500.000
Apple,iPhone 15 Pro Max,Đã sử dụng (chưa sửa chữa),Hết bảo hành,Xanh dương,256 GB,Việt Nam,"Phường Tân Phong, Quận 7, Tp Hồ Chí Minh",24.000.000
Apple,iPhone 13 Mini,Đã sử dụng (chưa sửa chữa),Hết bảo hành,Vàng hồng,128 GB,Nước khác,"Phường Bạch Mai, Quận Hai Bà Trưng, Hà Nội",8.200.000
Oppo,Reno6 Z,Đã sử dụng (chưa sửa chữa),Hết bảo hành,Xanh lá,128 GB,Việt Nam,"Xã Xuân Thới Sơn, Huyện Hóc Môn, Tp Hồ Chí Minh",2.800.000
Apple,iPhone 11 Pro Max,Đã sử dụng (chưa sửa chữa),Hết bảo hành,Xanh dương,256 GB,Đang cập nhật,"Phường 1, Quận Gò Vấp, Tp Hồ Chí Minh",6.500.000
Apple,iPhone 6S,Đã sử dụng (chưa sửa chữa),Bảo hành hãng,Bạc,16 GB,Đang cập nhật,"Phường 16, Quận 4, Tp Hồ Chí Minh",450.000
Samsung,Galaxy S23 Ultra,Đã sử dụng (chưa sửa chữa),Bảo hành hãng,Đen,1 TB,Việt Nam,"Phường 2, Quận Tân Bình, Tp Hồ Chí Minh",18.950.000
Apple,iPhone 12 Pro Max,Đã sử dụng (chưa sửa chữa),Hết bảo hành,Xám,128 GB,Nước khác,"Xã Tân Vĩnh Hiệp, Thị xã Tân Uyên, Bình Dương",8.200.000
Apple,iPhone 12,Đã sử dụng (chưa sửa chữa),Bảo hành hãng,Xanh dương,Đang cập nhật,In trên bao bì,"Phường Tân Quý, Quận Tân Phú, Tp Hồ Chí Minh",5.000.000
Apple,iPhone X,Đã sử dụng (chưa sửa chữa),Hết bảo hành,Trắng,64 GB,Mỹ,"Phường Tân Hiệp, Thành phố Biên Hòa, Đồng Nai",3.450.000
Apple,iPhone 13 Pro Max,Đã sử dụng (chưa sửa chữa),Còn bảo hành,Xanh dương,128 GB,Đang cập nhật,"Phường 10, Quận 3, Tp Hồ Chí Minh",11.500.000
Samsung,Galaxy A53,Đã sử dụng (chưa sửa chữa),Hết bảo hành,Vàng,128 GB,Việt Nam,"Xã Vĩnh Kim, Huyện Châu Thành, Tiền Giang",3.700.000
Apple,iPhone 7 plus,Đã sử dụng (chưa sửa chữa),Hết bảo hành,Vàng,32 GB,Việt Nam,"Phường Hố Nai, Thành phố Biên Hòa, Đồng Nai",1.350.000
Apple,iPhone 7 plus,Đã sử dụng (chưa sửa chữa),Hết bảo hành,Vàng,32 GB,Việt Nam,"Phường Hố Nai, Thành phố Biên Hòa, Đồng Nai",1.350.000
Apple,iPhone 15,Đã sử dụng (chưa sửa chữa),Bảo hành hãng,128 GB,Mỹ,In trên bao bì,"Phường Bình Hiên, Quận Hải Châu, Đà Nẵng",14.990.000
Samsung,Galaxy Z Fold2,Đã sử dụng (chưa sửa chữa),Hết bảo hành,Đen bóng - Jet black,256 GB,Hàn Quốc,"Phường Phước Ninh, Quận Hải Châu, Đà Nẵng",4.490.000
Apple,iPhone 13 Pro Max,Mới,Hết bảo hành,Vàng,128 GB,Mỹ,"Phường An Phú, Quận Ninh Kiều, Cần Thơ",11.000.000
Samsung,Galaxy A33,Đã sử dụng (chưa sửa chữa),3 tháng,Đen,128 GB,Đang cập nhật,"Phường An Khánh, Quận Ninh Kiều, Cần Thơ",3.490.000
Apple,iPhone XS,Đã sử dụng (qua sửa chữa),Hết bảo hành,Vàng,64 GB,Việt Nam,"Phường Đồng Mai, Quận Hà Đông, Hà Nội",2.700.000
Apple,iPhone 11,Đã sử dụng (chưa sửa chữa),Còn bảo hành,Màu khác,64 GB,Mỹ,1160 phạm văn đồng,4.500.000
Apple,iPhone XS,Đã sử dụng (chưa sửa chữa),Còn bảo hành,Màu khác,64 GB,Nước khác,"Phường Xuân Hà, Quận Thanh Khê, Đà Nẵng",2.900.000
Samsung,Galaxy A32,Đã sử dụng (chưa sửa chữa),Bảo hành hãng,Đang cập nhật,In trên bao bì,,"Phường Tân Hiệp, Thành phố Biên Hòa, Đồng Nai",2.350.000
Apple,iPhone 15 Pro Max,Mới,Còn bảo hành,Xanh dương,256 GB,Mỹ,"Phường Tân Định, Quận 1, Tp Hồ Chí Minh",26.500.000
Apple,iPhone 13 Pro Max,Đã sử dụng (chưa sửa chữa),Còn bảo hành,Vàng,256 GB,Mỹ,463b Cmt8,12.500.000
Apple,iPhone 11,Đã sử dụng (chưa sửa chữa),2 tháng,Xanh dương,64 GB,Việt Nam,"Phường Hoá An, Thành phố Biên Hòa, Đồng Nai",3.200.000
Apple,iPhone 12 Pro,Đã sử dụng (chưa sửa chữa),>12 tháng,Vàng,128 GB,Mỹ,"Phường Bình Hưng Hoà B, Quận Bình Tân, Tp Hồ Chí Minh",9.600.000
Apple,iPhone 11 Pro,Đã sử dụng (chưa sửa chữa),Bảo hành hãng,Màu khác,64 GB,Đang cập nhật,Đường Tôn Đản,5.500.000
Samsung,Galaxy S21 Ultra,Đã sử dụng (chưa sửa chữa),3 tháng,Đen,128 GB,Mỹ,"Phường Tân Quy, Quận 7, Tp Hồ Chí Minh",7.800.000
Apple,iPhone 11,Đã sử dụng (chưa sửa chữa),Còn bảo hành,Đỏ,64 GB,Đang cập nhật,"Phường Xuân Hà, Quận Thanh Khê, Đà Nẵng",4.000.000
Apple,iPhone 6S plus,Đã sử dụng (chưa sửa chữa),Hết bảo hành,Vàng,128 GB,Nước khác,"Phường 10, Thành phố Vũng Tàu, Bà Rịa - Vũng Tàu",1.290.000
Apple,iPhone 12 Pro Max,Đã sử dụng (chưa sửa chữa),Còn bảo hành,Xanh dương,256 GB,Đức,451/17 Le Quang Định,8.500.000
Realme,Dòng khác,Mới,1 tháng,Bạc,256 GB,Nước khác,"Phường 5, Quận 11, Tp Hồ Chí Minh",4.650.000
Oppo,A53,Đã sử dụng (chưa sửa chữa),Bảo hành hãng,128 GB,Đang cập nhật,In trên bao bì,"Phường Cống Vị, Quận Ba Đình, Hà Nội",1.950.000
LG,V60 ThinQ,Đã sử dụng (chưa sửa chữa),Còn bảo hành,Đen,128 GB,Đang cập nhật,"Phường Cống Vị, Quận Ba Đình, Hà Nội",3.500.000
Hãng khác,Dòng khác,Đã sử dụng (chưa sửa chữa),Bảo hành hãng,Xanh dương,64 GB,Đang cập nhật,Cổng Mỹ Phước 3,300.000
Apple,iPhone 12,Đã sử dụng (chưa sửa chữa),Còn bảo hành,Trắng,64 GB,Mỹ,"Phường 10, Quận Gò Vấp, Tp Hồ Chí Minh",3.900.000
Apple,iPhone 14 Pro Max,Đã sử dụng (chưa sửa chữa),Còn bảo hành,Màu khác,128 GB,Việt Nam,Đường Nguyễn Thị Định,20.000.000
Apple,iPhone 12 Pro,Đã sử dụng (qua sửa chữa),Còn bảo hành,Xanh dương,128 GB,Đang cập nhật,"Phường 1, Quận Gò Vấp, Tp Hồ Chí Minh",6.500.000
Samsung,Galaxy S20 FE,Đã sử dụng (chưa sửa chữa),1 tháng,Xanh dương,128 GB,Mỹ,"Phường Phước Nguyên, Thành phố Bà Rịa, Bà Rịa - Vũng Tàu",4.100.000
Apple,iPhone XS,Đã sử dụng (chưa sửa chữa),Hết bảo hành,Vàng,64 GB,Việt Nam,"Phường Hiệp Thành, Thành phố Thủ Dầu Một, Bình Dương",1.000.000
Apple,iPhone 12 Pro,Đã sử dụng (chưa sửa chữa),1 tháng,Trắng,128 GB,Nhật Bản,"Phường Tân Phú, Quận 7, Tp Hồ Chí Minh",8.700.000
Samsung,Z Fold 6,Đã sử dụng (chưa sửa chữa),Còn bảo hành,Bạc,256 GB,Việt Nam,"Phường 2, Quận Tân Bình, Tp Hồ Chí Minh",31.950.000
Xiaomi,Redmi Note 12 Turbo,Đã sử dụng (chưa sửa chữa),Còn bảo hành,Đen,128 GB,Trung Quốc,"Phường Thạc Gián, Quận Thanh Khê, Đà Nẵng",3.990.000
Xiaomi,Dòng khác,Mới,>12 tháng,Xanh dương,128 GB,Trung Quốc,"Phường Đồng Văn, Thị xã Duy Tiên, Hà Nam",2.500.000
Apple,iPhone XS Max,Đã sử dụng (chưa sửa chữa),Bảo hành hãng,Đang cập nhật,In trên bao bì,,"Phường Tân Hiệp, Thành phố Biên Hòa, Đồng Nai",3.550.000
Xiaomi,Redmi Note 10,Mới,Bảo hành hãng,Đen,128 GB,Việt Nam,"Phường 2, Quận 11, Tp Hồ Chí Minh",2.150.000
Apple,iPhone 12 Pro,Đã sử dụng (chưa sửa chữa),Hết bảo hành,Vàng,128 GB,Mỹ,Tổ dân phố Quang Ấm,8.000.000
Apple,iPhone XR,Đã sử dụng (chưa sửa chữa),Hết bảo hành,Đen,64 GB,Việt Nam,"Phường Chính Gián, Quận Thanh Khê, Đà Nẵng",4.250.000
Huawei,P30 Pro,Đã sử dụng (chưa sửa chữa),Bảo hành hãng,128 GB,Đang cập nhật,In trên bao bì,"Phường Tân Hiệp, Thành phố Biên Hòa, Đồng Nai",3.500.000
Honor,dòng khác,Đã sử dụng (chưa sửa chữa),Còn bảo hành,Bạc,128 GB,Việt Nam,"Phường Hiệp Tân, Quận Tân Phú, Tp Hồ Chí Minh",2.550.000
Apple,iPhone XS Max,Đã sử dụng (chưa sửa chữa),Còn bảo hành,Đen,64 GB,Đang cập nhật,"Phường 1, Quận 3, Tp Hồ Chí Minh",4.500.000
Vivo,Dòng khác,Mới,>12 tháng,Vàng,128 GB,Việt Nam,"Phường Tân Sơn Nhì, Quận Tân Phú, Tp Hồ Chí Minh",3.600.000
Apple,iPhone 13 Pro Max,Đã sử dụng (chưa sửa chữa),Hết bảo hành,Bạc,128 GB,Việt Nam,Đường huyện 507,13.500.000
Apple,iPhone 12 Pro Max,Đã sử dụng (chưa sửa chữa),Còn bảo hành,Vàng,128 GB,Mỹ,1160 phạm văn đồng,7.500.000
Oppo,Dòng khác,Đã sử dụng (chưa sửa chữa),4-6 tháng,Đen,256 GB,Trung Quốc,"Phường Hiệp Bình Chánh (Quận Thủ Đức cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh",2.800.000
Oppo,Reno,Đã sử dụng (chưa sửa chữa),Hết bảo hành,Xanh dương,256 GB,Trung Quốc,Chung Cư CT12C Kim Văn Kim Lũ,2.300.000
Xiaomi,Dòng khác,Mới,3 tháng,Trắng,256 GB,Việt Nam,"Phường Hưng Lợi, Quận Ninh Kiều, Cần Thơ",7.890.000
Apple,iPhone 12,Đã sử dụng (chưa sửa chữa),Hết bảo hành,Xanh dương,64 GB,Mỹ,"Phường Hưng Lợi, Quận Ninh Kiều, Cần Thơ",4.550.000
Apple,iPhone 11,Đã sử dụng (chưa sửa chữa),Còn bảo hành,Xanh lá,64 GB,Mỹ,463b Cmt8,4.500.000
Apple,iPhone 8 plus,Đã sử dụng (chưa sửa chữa),4-6 tháng,Hồng,64 GB,Đang cập nhật,"Phường Tân Định, Quận 1, Tp Hồ Chí Minh",3.500.000
Apple,iPhone X,Đã sử dụng (chưa sửa chữa),Còn bảo hành,Đen,64 GB,Mỹ,463b Cmt8 ,3.000.000
Apple,iPhone SE,Đã sử dụng (chưa sửa chữa),Bảo hành hãng,Trắng,64 GB,Đang cập nhật,"Phường Mai Dịch, Quận Cầu Giấy, Hà Nội",3.850.000
Xiaomi,Redmi Note 13,Đã sử dụng (chưa sửa chữa),Còn bảo hành,Đen,128 GB,Việt Nam,"Phường Tân Sơn Nhì, Quận Tân Phú, Tp Hồ Chí Minh",3.500.000
Apple,iPhone 13,Đã sử dụng (chưa sửa chữa),Hết bảo hành,Đỏ,128 GB,Nhật Bản,"Phường 6, Thành phố Tân An, Long An",8.700.000
Apple,iPhone 7 plus,Đã sử dụng (chưa sửa chữa),1 tháng,Đỏ,256 GB,Việt Nam,"Phường Hoá An, Thành phố Biên Hòa, Đồng Nai",1.250.000
Samsung,Galaxy A6 Plus,Đã sử dụng (chưa sửa chữa),Bảo hành hãng,Xanh dương,32 GB,Đang cập nhật,"Phường 9, Quận Gò Vấp, Tp Hồ Chí Minh",490.000
Xiaomi,Dòng khác,Đã sử dụng (chưa sửa chữa),Còn bảo hành,Xanh lá,256 GB,Việt Nam,"Phường Hiệp Tân, Quận Tân Phú, Tp Hồ Chí Minh",7.400.000
Samsung,Galaxy A32,Đã sử dụng (chưa sửa chữa),Bảo hành hãng,Xanh dương,128 GB,Đang cập nhật,Hẻm 2-359 NVC,2.200.000
Apple,iPhone 11,Đã sử dụng (chưa sửa chữa),3 tháng,Xanh dương,64 GB,Việt Nam,"Phường Tân Quy, Quận 7, Tp Hồ Chí Minh",6.200.000
Apple,iPhone 12 Pro,Đã sử dụng (chưa sửa chữa),4-6 tháng,Vàng,128 GB,Mỹ,451/17 Le Quang Định,6.500.000
Apple,iPhone 8 plus,Đã sử dụng (qua sửa chữa),Bảo hành hãng,Đen,64 GB,Đang cập nhật,"Phường Lê Đại Hành, Quận Hai Bà Trưng, Hà Nội",1.800.000
Apple,iPhone 14 Pro Max,Đã sử dụng (chưa sửa chữa),Hết bảo hành,Tím,256 GB,Nước khác,"Phường 6, Quận 6, Tp Hồ Chí Minh",19.000.000
Apple,iPhone 13,Đã sử dụng (chưa sửa chữa),7-12 tháng,Hồng,128 GB,Đang cập nhật,"Phường 1, Quận Gò Vấp, Tp Hồ Chí Minh",8.500.000
Apple,iPhone 8 plus,Đã sử dụng (chưa sửa chữa),Hết bảo hành,64 GB,Mỹ,Quốc tế,"Xã Vĩnh Quỳnh, Huyện Thanh Trì, Hà Nội",3.000.000
Samsung,Dòng khác,Đã sử dụng (chưa sửa chữa),Còn bảo hành,Màu khác,256 GB,Việt Nam,"Phường 11, Quận Tân Bình, Tp Hồ Chí Minh",22.590.000
Samsung,Dòng khác,Đã sử dụng (chưa sửa chữa),Còn bảo hành,Màu khác,256 GB,Việt Nam,"Phường 2, Quận Tân Bình, Tp Hồ Chí Minh",9.777.777
Apple,iPhone 14 Pro Max,Mới,Còn bảo hành,Tím,256 GB,Nước khác,"Phường Phước Ninh, Quận Hải Châu, Đà Nẵng",20.990.000
Xiaomi,14,Đã sử dụng (chưa sửa chữa),Còn bảo hành,Đen,256 GB,Trung Quốc,"Phường Thạc Gián, Quận Thanh Khê, Đà Nẵng",11.650.000
Samsung,Galaxy S21,Đã sử dụng (qua sửa chữa),Hết bảo hành,Tím,128 GB,Việt Nam,"Phường 4, Thành phố Vĩnh Long, Vĩnh Long",4.440.000
Apple,iPhone 15 Pro Max,Đã sử dụng (chưa sửa chữa),Bảo hành hãng,Đang cập nhật,Quốc tế,In trên bao bì,"Phường 5, Quận 10, Tp Hồ Chí Minh",14.790.000
Apple,iPhone 12 Pro Max,Đã sử dụng (chưa sửa chữa),4-6 tháng,Xanh dương,128 GB,Mỹ,"Phường 5, Quận Tân Bình, Tp Hồ Chí Minh",7.100.000
Samsung,Galaxy S10E,Đã sử dụng (chưa sửa chữa),>12 tháng,Đen,128 GB,Đang cập nhật,"Phường Cổ Nhuế 1, Quận Bắc Từ Liêm, Hà Nội",2.900.000
Apple,iPhone 8 plus,Đã sử dụng (chưa sửa chữa),Hết bảo hành,Đen bóng - Jet black,64 GB,Mỹ,"Phường Tân Phú, Quận 7, Tp Hồ Chí Minh",3.000.000
Apple,iPhone 11,Đã sử dụng (chưa sửa chữa),Còn bảo hành,Xanh lá,64 GB,Đang cập nhật,"Phường 10, Quận 3, Tp Hồ Chí Minh",4.500.000
Vivo,iQOO Z9 Turbo,Mới,Còn bảo hành,Trắng,256 GB,Trung Quốc,"Phường Nghĩa Đô, Quận Cầu Giấy, Hà Nội",6.300.000
Realme,Dòng khác,Đã sử dụng (chưa sửa chữa),Bảo hành hãng,Vàng,256 GB,Đang cập nhật,Ấp Phú Sơn Xã Bắc Sơn Huyện Trảng Bom Tỉnh Đồng Nai,2.550.000
Samsung,Galaxy A02s,Đã sử dụng (chưa sửa chữa),2 tháng,Đen,128 GB,Việt Nam,"Phường Hoá An, Thành phố Biên Hòa, Đồng Nai",850.000
Apple,iPhone 11 Pro Max,Đã sử dụng (chưa sửa chữa),Còn bảo hành,Vàng,256 GB,Đang cập nhật,"Phường Linh Đông (Quận Thủ Đức cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh",6.500.000
Xiaomi,Redmi Note 13 Pro,Mới,3 tháng,Trắng,256 GB,Việt Nam,"Phường Hưng Lợi, Quận Ninh Kiều, Cần Thơ",6.200.000
Apple,iPhone 12 Pro Max,Đã sử dụng (chưa sửa chữa),Còn bảo hành,Vàng,256 GB,Đang cập nhật,"Phường 13, Quận 10, Tp Hồ Chí Minh",8.500.000
Xiaomi,Redmi Note 13 Pro,Đã sử dụng (chưa sửa chữa),Hết bảo hành,Màu khác,128 GB,Trung Quốc,"Phường Đại Kim, Quận Hoàng Mai, Hà Nội",4.200.000
Apple,iPhone XS,Đã sử dụng (chưa sửa chữa),Bảo hành hãng,Trắng,64 GB,Nước khác,"Xã Lai Hưng, Huyện Bàu Bàng, Bình Dương",2.950.000
Apple,iPhone XS Max,Đã sử dụng (chưa sửa chữa),Hết bảo hành,Vàng,64 GB,Mỹ,"Phường Nghĩa Đô, Quận Cầu Giấy, Hà Nội",5.100.000
Apple,iPhone XS Max,Đã sử dụng (chưa sửa chữa),Hết bảo hành,Vàng,64 GB,Mỹ,"Phường Nghĩa Đô, Quận Cầu Giấy, Hà Nội",5.100.000
Apple,iPhone XR,Đã sử dụng (chưa sửa chữa),3 tháng,Trắng,64 GB,Mỹ,"Thị trấn Long Điền, Huyện Long Điền, Bà Rịa - Vũng Tàu",3.900.000
Apple,iPhone 12 Pro Max,Đã sử dụng (chưa sửa chữa),Còn bảo hành,Trắng,128 GB,Mỹ,463b Cmt8,7.500.000
Xiaomi,POCO X3 Pro,Đã sử dụng (qua sửa chữa),Hết bảo hành,Vàng,256 GB,Trung Quốc,"Phường An Lạc A, Quận Bình Tân, Tp Hồ Chí Minh",2.200.000
Oppo,F7,Đã sử dụng (qua sửa chữa),Hết bảo hành,Màu khác,256 GB,Việt Nam,Hẻm 83 Năm Châu,500.000
Apple,iPhone 12 Pro Max,Đã sử dụng (chưa sửa chữa),4-6 tháng,Xanh dương,128 GB,Mỹ,"Phường Tân Định, Quận 1, Tp Hồ Chí Minh",12.800.000
Apple,iPhone 12 Pro Max,Đã sử dụng (chưa sửa chữa),Còn bảo hành,Vàng,128 GB,Đang cập nhật,"Phường Phước Long B (Quận 9 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh",8.800.000
Apple,iPhone XS,Đã sử dụng (chưa sửa chữa),Còn bảo hành,Vàng,64 GB,Mỹ,463b Cmt8,3.500.000
Nokia thông minh,X6,Đã sử dụng (chưa sửa chữa),Hết bảo hành,Đen,64 GB,Trung Quốc,"Phường 2, Thành phố Sóc Trăng, Sóc Trăng",650.000
Apple,iPhone 6,Đã sử dụng (chưa sửa chữa),Hết bảo hành,Vàng,32 GB,Việt Nam,"Phường Hoá An, Thành phố Biên Hòa, Đồng Nai",550.000
Google,Pixel 4 XL,Đã sử dụng (qua sửa chữa),3 tháng,Đen,64 GB,Mỹ,Ngõ 189 Nguyễn Ngọc Vũ,2.500.000
Xiaomi,14,Đã sử dụng (chưa sửa chữa),Còn bảo hành,Màu khác,256 GB,Việt Nam,"Phường 11, Quận Tân Bình, Tp Hồ Chí Minh",13.390.000
Samsung,Galaxy Z Fold3,Mới,Còn bảo hành,Đen,256 GB,Việt Nam,"Phường Phước Ninh, Quận Hải Châu, Đà Nẵng",8.790.000
Xiaomi,Dòng khác,Đã sử dụng (qua sửa chữa),>12 tháng,Màu khác,8,Trung Quốc,Đường Lê Đức Thọ,5.990.000
Apple,iPhone XS Max,Đã sử dụng (chưa sửa chữa),Bảo hành hãng,Trắng,256 GB,Đang cập nhật,"Phường 10, Quận 10, Tp Hồ Chí Minh",5.500.000
Apple,iPhone 12,Đã sử dụng (qua sửa chữa),Hết bảo hành,Đen,128 GB,Mỹ,"Phường Dịch Vọng Hậu, Quận Cầu Giấy, Hà Nội",4.800.000
Apple,iPhone 13,Đã sử dụng (chưa sửa chữa),7-12 tháng,Trắng,128 GB,Việt Nam,"Phường 1, Quận 4, Tp Hồ Chí Minh",11.300.000
Vivo,X60,Đã sử dụng (chưa sửa chữa),Còn bảo hành,Xanh dương,128 GB,Trung Quốc,"Phường Thạc Gián, Quận Thanh Khê, Đà Nẵng",3.650.000
Apple,iPhone 11,Đã sử dụng (chưa sửa chữa),3 tháng,Đen,64 GB,Đang cập nhật,"Phường An Khánh, Quận Ninh Kiều, Cần Thơ",5.690.000
