Brand,Name,Status,Guarantee,Color,Capacity,Origin,Location,Price
Vivo,Y21,Đã sử dụng (qua sửa chữa),Bảo hành hãng,Xanh dương,64 GB,Việt Nam,"Phường 3, Quận Gò Vấp, Tp Hồ Chí Minh",1.150.000
Apple,iPhone XS,Mới,Còn bảo hành,Vàng,64 GB,Mỹ,ngõ 20 hồ tùng mậu,3.000.000
Samsung,Galaxy S24 Ultra,Đã sử dụng (chưa sửa chữa),>12 tháng,Xám,256 GB,Việt Nam,"Phường 10, Quận Tân Bình, Tp Hồ Chí Minh",21.490.000
Apple,iPhone 14 Pro Max,Đã sử dụng (chưa sửa chữa),Hết bảo hành,Tím,128 GB,Mỹ,"Phường 13, Quận Bình Thạnh, Tp Hồ Chí Minh",16.700.000
Samsung,Galaxy M51,Đã sử dụng (chưa sửa chữa),Bảo hành hãng,Xanh dương,128 GB,Việt Nam,Đường số 36,3.200.000
Samsung,Galaxy Note 20 Ultra,Đã sử dụng (chưa sửa chữa),3 tháng,Màu khác,256 GB,Việt Nam,"Phường An Hòa, Quận Ninh Kiều, Cần Thơ",6.990.000
Apple,iPhone 6S plus,Đã sử dụng (chưa sửa chữa),Bảo hành hãng,16 GB,Đang cập nhật,Khoá mạng (lock),"Phường Linh Chiểu (Quận Thủ Đức cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh",500.000
Apple,iPhone 16 Pro Max,Mới,>12 tháng,Màu khác,256 GB,Mỹ,"Phường 12, Quận Gò Vấp, Tp Hồ Chí Minh",33.600.000
Apple,iPhone 12 Pro Max,Đã sử dụng (chưa sửa chữa),Bảo hành hãng,Xanh dương,128 GB,Đang cập nhật,"Phường Trung Liệt, Quận Đống Đa, Hà Nội",7.550.000
Apple,iPhone 12,Đã sử dụng (chưa sửa chữa),Bảo hành hãng,Màu khác,128 GB,Đang cập nhật,"Phường Tam Hiệp, Thành phố Biên Hòa, Đồng Nai",7.799.000
Apple,iPhone XS Max,Đã sử dụng (qua sửa chữa),Bảo hành hãng,Vàng,64 GB,Đang cập nhật,185 Bình Quới,4.500.000
Vivo,V25,Đã sử dụng (chưa sửa chữa),3 tháng,Màu khác,128 GB,Việt Nam,"Thị trấn Liên Nghĩa, Huyện Đức Trọng, Lâm Đồng",3.500.000
Apple,iPhone 8 plus,Đã sử dụng (chưa sửa chữa),Hết bảo hành,Vàng hồng,64 GB,Mỹ,"Phường Tân Hưng, Quận 7, Tp Hồ Chí Minh",1.650.000
Apple,iPhone 11,Đã sử dụng (qua sửa chữa),Hết bảo hành,Đen,128 GB,Mỹ,"Xã Hiệp Tân, Huyện Hòa Thành, Tây Ninh",2.100.000
Samsung,Galaxy A12,Đã sử dụng (chưa sửa chữa),Hết bảo hành,Xanh dương,128 GB,Nước khác,"Phường Khương Đình, Quận Thanh Xuân, Hà Nội",1.200.000
Google,Dòng khác,Đã sử dụng (chưa sửa chữa),2 tháng,Đen,128 GB,Đang cập nhật,"Phường An Hòa, Quận Ninh Kiều, Cần Thơ",4.499.000
Vivo,Dòng khác,Đã sử dụng (chưa sửa chữa),1 tháng,Xanh dương,128 GB,Nước khác,"Phường 4, Thành phố Sóc Trăng, Sóc Trăng",3.650.000
Samsung,Galaxy Note 10 Lite,Đã sử dụng (chưa sửa chữa),Bảo hành hãng,Đen,128 GB,Việt Nam,Đường số 36,2.850.000
Apple,iPhone X,Đã sử dụng (chưa sửa chữa),Hết bảo hành,Trắng,64 GB,Nhật Bản,"Thị trấn Yên Viên, Huyện Gia Lâm, Hà Nội",2.200.000
Samsung,Galaxy Note 10,Đã sử dụng (chưa sửa chữa),Bảo hành hãng,Vàng hồng,256 GB,Hàn Quốc,"Phường Phúc Lợi, Quận Long Biên, Hà Nội",3.688.888
