Brand,Name,Status,Guarantee,Color,Capacity,Origin,Location,Price
apple,iphone xs max,da su dung chua sua chua,1 thang,trang,256.0,my,tp ho chi minh,5600000
apple,iphone xs max,da su dung chua sua chua,het bao hanh,den,64.0,dang cap nhat,tp ho chi minh,4500000
apple,iphone xr,da su dung chua sua chua,3 thang,trang,128.0,my,tp ho chi minh,4800000
samsung,galaxy a12,da su dung chua sua chua,bao hanh hang,den,128.0,viet nam,tp ho chi minh,1650000
apple,iphone 7 plus,da su dung chua sua chua,bao hanh hang,den,32.0,dang cap nhat,ha noi,1500000
apple,iphone 15 pro,da su dung chua sua chua,het bao hanh,trang,128.0,han quoc,ha noi,16500000
apple,iphone 12 pro max,da su dung chua sua chua,het bao hanh,xanh duong,128.0,viet nam,ha noi,11300000
samsung,galaxy s21 plus,da su dung chua sua chua,bao hanh hang,den,128.0,han quoc,tp ho chi minh,5300000
apple,iphone 11,da su dung qua sua chua,het bao hanh,trang,8.0,nuoc khac,tp ho chi minh,700000
samsung,galaxy s21 plus,da su dung chua sua chua,bao hanh hang,den,128.0,han quoc,tp ho chi minh,5300000
apple,iphone 11,da su dung qua sua chua,het bao hanh,trang,8.0,nuoc khac,tp ho chi minh,700000
apple,iphone 15 pro max,da su dung chua sua chua,het bao hanh,xanh duong,256.0,viet nam,tp ho chi minh,22580000
apple,iphone 8 plus,da su dung chua sua chua,2 thang,den,64.0,nuoc khac,tp ho chi minh,2600000
apple,iphone 13,da su dung chua sua chua,4-6 thang,xanh duong,128.0,viet nam,tp ho chi minh,9000000
apple,iphone 11,da su dung qua sua chua,het bao hanh,trang,64.0,my,ca mau,3700000
oppo,reno 2/2f,da su dung chua sua chua,bao hanh hang,xanh duong,128.0,dang cap nhat,tra vinh,1400000
xiaomi,redmi 5/5a,da su dung chua sua chua,het bao hanh,vang,16.0,viet nam,tp ho chi minh,580000
samsung,galaxy j7 pro,da su dung chua sua chua,bao hanh hang,vang,32.0,dang cap nhat,binh thuan,900000
xiaomi,dong khac,da su dung chua sua chua,con bao hanh,xanh la,256.0,viet nam,tp ho chi minh,7000000
apple,iphone 11 pro max,da su dung chua sua chua,3 thang,xam,64.0,my,tp ho chi minh,4990000
apple,iphone 12 pro,da su dung chua sua chua,het bao hanh,vang,256.0,nhat ban,ha noi,9900000
vertu,dong khac,da su dung chua sua chua,>12 thang,mau khac,512.0,nuoc khac,da nang,17500000
apple,iphone 8 plus,da su dung chua sua chua,het bao hanh,do,64.0,my,can tho,2300000
apple,iphone 12 pro max,da su dung chua sua chua,con bao hanh,vang,256.0,dang cap nhat,tp ho chi minh,8500000
samsung,galaxy s23 ultra,da su dung chua sua chua,3 thang,xanh la,256.0,han quoc,tp ho chi minh,15500000
realme,gt neo 2,moi,3 thang,mau khac,128.0,nuoc khac,tp ho chi minh,3450000
apple,iphone xs max,da su dung chua sua chua,con bao hanh,vang,64.0,nuoc khac,binh duong,5900000
xiaomi,redmi note 10,da su dung chua sua chua,bao hanh hang,trang,64.0,dang cap nhat,tp ho chi minh,1600000
apple,dong khac,da su dung chua sua chua,con bao hanh,den,64.0,viet nam,ha noi,6700000
xiaomi,redmi note 10,da su dung chua sua chua,bao hanh hang,trang,64.0,dang cap nhat,tp ho chi minh,1600000
apple,dong khac,da su dung chua sua chua,con bao hanh,den,64.0,viet nam,ha noi,6700000
apple,iphone 8 plus,da su dung chua sua chua,bao hanh hang,vang,64.0,dang cap nhat,tp ho chi minh,2800000
samsung,galaxy note 8,da su dung chua sua chua,bao hanh hang,bac,64.0,dang cap nhat,tp ho chi minh,1100000
apple,iphone 13 pro,da su dung chua sua chua,3 thang,xam,256.0,my,tp ho chi minh,11800000
apple,iphone xr,da su dung chua sua chua,het bao hanh,do,64.0,my,tp ho chi minh,2700000
oppo,reno,da su dung chua sua chua,bao hanh hang,xanh la,256.0,dang cap nhat,can tho,1450000
samsung,galaxy a51,da su dung chua sua chua,bao hanh hang,mau khac,128.0,dang cap nhat,can tho,1450000
oppo,f5,da su dung chua sua chua,bao hanh hang,vang,32.0,dang cap nhat,can tho,750000
apple,iphone xs,da su dung chua sua chua,het bao hanh,den,64.0,my,dong nai,3000000
oppo,a83,da su dung chua sua chua,bao hanh hang,vang,128.0,viet nam,tp ho chi minh,590000
apple,iphone 11,da su dung chua sua chua,con bao hanh,xanh la,64.0,dang cap nhat,tp ho chi minh,4500000
apple,iphone 14 pro,da su dung chua sua chua,3 thang,trang,256.0,my,tp ho chi minh,16500000
samsung,galaxy s9 plus,da su dung chua sua chua,bao hanh hang,tim,256.0,han quoc,tp ho chi minh,2300000
samsung,galaxy s9 plus,da su dung chua sua chua,bao hanh hang,tim,256.0,han quoc,tp ho chi minh,2300000
xiaomi,13 pro,da su dung chua sua chua,bao hanh hang,xanh la,128.0,dang cap nhat,da nang,7980000
realme,5i,da su dung chua sua chua,het bao hanh,xanh la,64.0,viet nam,tp ho chi minh,1150000
samsung,galaxy z flip4,da su dung chua sua chua,con bao hanh,tim,256.0,han quoc,tp ho chi minh,6000000
samsung,galaxy a9,da su dung chua sua chua,bao hanh hang,hong,128.0,viet nam,tp ho chi minh,1400000
apple,iphone 7,da su dung chua sua chua,2 thang,trang,32.0,nuoc khac,tp ho chi minh,1550000
apple,iphone 13,da su dung chua sua chua,3 thang,do,128.0,my,dong nai,9200000
xiaomi,dong khac,da su dung chua sua chua,con bao hanh,den bong,256.0,viet nam,ha noi,8300000
xiaomi,mi 8,da su dung chua sua chua,het bao hanh,den,128.0,viet nam,tp ho chi minh,1300000
vivo,v11i,da su dung qua sua chua,het bao hanh,xanh duong,128.0,viet nam,tp ho chi minh,1400000
apple,iphone 12 pro max,da su dung chua sua chua,con bao hanh,tim,128.0,dang cap nhat,tp ho chi minh,6868686
xiaomi,dong khac,da su dung chua sua chua,bao hanh hang,xanh duong,64.0,dang cap nhat,tp ho chi minh,1400000
xiaomi,dong khac,da su dung chua sua chua,bao hanh hang,den,256.0,dang cap nhat,ha noi,4050000
apple,iphone 11 pro max,da su dung chua sua chua,het bao hanh,xanh la,256.0,dang cap nhat,binh duong,8000000
apple,iphone 11 pro max,da su dung chua sua chua,con bao hanh,xanh la,256.0,dang cap nhat,tp ho chi minh,6500000
apple,iphone x,da su dung chua sua chua,1 thang,den,256.0,my,tp ho chi minh,4500000
xiaomi,redmi 13c,moi,con bao hanh,den,128.0,viet nam,tp ho chi minh,2250000
samsung,galaxy s23 ultra,moi,>12 thang,den,256.0,viet nam,tp ho chi minh,20450000
apple,iphone 15 pro,da su dung chua sua chua,het bao hanh,xam,256.0,viet nam,tp ho chi minh,21500000
samsung,galaxy s21,da su dung chua sua chua,con bao hanh,den,256.0,han quoc,tp ho chi minh,4000000
xiaomi,dong khac,da su dung chua sua chua,bao hanh hang,xanh duong,128.0,dang cap nhat,tp ho chi minh,3000000
apple,iphone 12 pro max,da su dung chua sua chua,con bao hanh,xanh duong,128.0,dang cap nhat,tp ho chi minh,7500000
apple,iphone xs max,da su dung chua sua chua,het bao hanh,vang,64.0,dang cap nhat,tp ho chi minh,4500000
apple,iphone 11 pro max,da su dung chua sua chua,het bao hanh,xanh duong,64.0,dang cap nhat,tp ho chi minh,6000000
apple,iphone 13 pro max,da su dung chua sua chua,con bao hanh,vang,256.0,dang cap nhat,tp ho chi minh,12500000
samsung,galaxy s20,da su dung chua sua chua,het bao hanh,xanh duong,128.0,viet nam,soc trang,1500000
apple,iphone 13 pro max,da su dung chua sua chua,3 thang,vang,128.0,viet nam,tp ho chi minh,12800000
google,pixel 6 pro,da su dung chua sua chua,bao hanh hang,trang,128.0,my,tp ho chi minh,6950000
samsung,galaxy s22 ultra,da su dung chua sua chua,het bao hanh,hong,256.0,my,tp ho chi minh,8500000
samsung,galaxy s22 ultra,da su dung chua sua chua,het bao hanh,hong,256.0,my,tp ho chi minh,9000000
samsung,galaxy s22 ultra,da su dung chua sua chua,het bao hanh,hong,256.0,my,tp ho chi minh,9000000
samsung,dong khac,moi,con bao hanh,tim,128.0,viet nam,tp ho chi minh,8200000
apple,iphone x,da su dung chua sua chua,bao hanh hang,trang,256.0,dang cap nhat,tra vinh,3500000
samsung,galaxy s22 ultra,da su dung chua sua chua,het bao hanh,hong,256.0,my,tp ho chi minh,9000000
samsung,dong khac,moi,con bao hanh,tim,128.0,viet nam,tp ho chi minh,8200000
apple,iphone x,da su dung chua sua chua,bao hanh hang,trang,256.0,dang cap nhat,tra vinh,3500000
apple,iphone 13 pro max,da su dung chua sua chua,con bao hanh,xanh duong,128.0,dang cap nhat,tp ho chi minh,11500000
apple,iphone 12,da su dung chua sua chua,3 thang,xanh duong,64.0,viet nam,tp ho chi minh,6900000
apple,iphone 11 pro,da su dung qua sua chua,het bao hanh,xanh duong,64.0,dang cap nhat,lang son,4000000
huawei,mate 20x,da su dung chua sua chua,1 thang,tim,128.0,trung quoc,tp ho chi minh,4200000
realme,dong khac,da su dung chua sua chua,bao hanh hang,xam,128.0,dang cap nhat,binh duong,1650000
apple,iphone 13 pro max,da su dung chua sua chua,het bao hanh,xanh duong,128.0,dang cap nhat,ha noi,14000000
apple,iphone xs max,da su dung chua sua chua,bao hanh hang,vang,64.0,dang cap nhat,tp ho chi minh,4900000
vivo,v30,da su dung chua sua chua,7-12 thang,mau khac,512.0,viet nam,tp ho chi minh,7900000
apple,iphone 11 pro,da su dung chua sua chua,3 thang,xanh la,256.0,my,tp ho chi minh,6800000
samsung,galaxy z fold5,da su dung chua sua chua,bao hanh hang,den,512.0,viet nam,tp ho chi minh,18000000
apple,iphone xr,da su dung chua sua chua,>12 thang,vang,64.0,my,dong nai,4800000
samsung,dong khac,da su dung chua sua chua,het bao hanh,vang hong,256.0,viet nam,tp ho chi minh,1500000
xiaomi,dong khac,da su dung chua sua chua,bao hanh hang,xanh la,256.0,dang cap nhat,tp ho chi minh,2800000
apple,iphone 6s plus,da su dung qua sua chua,het bao hanh,bac,64.0,my,hai duong,1000000
apple,iphone 6 plus,da su dung chua sua chua,het bao hanh,trang,64.0,viet nam,da nang,950000
apple,iphone 6 plus,da su dung chua sua chua,het bao hanh,trang,64.0,viet nam,da nang,950000
apple,iphone 12 pro max,da su dung chua sua chua,con bao hanh,vang,128.0,dang cap nhat,tp ho chi minh,8300000
samsung,galaxy s22 plus,da su dung chua sua chua,3 thang,den,128.0,my,tp ho chi minh,6500000
samsung,galaxy a32,da su dung chua sua chua,con bao hanh,mau khac,128.0,nuoc khac,tp ho chi minh,2250000
samsung,galaxy a11,da su dung chua sua chua,het bao hanh,mau khac,32.0,viet nam,tp ho chi minh,900000
apple,iphone 14 pro max,da su dung chua sua chua,con bao hanh,den,128.0,dang cap nhat,binh phuoc,14500000
samsung,galaxy a55,moi,>12 thang,bac,128.0,viet nam,can tho,8400000
samsung,dong khac,moi,>12 thang,xanh duong,128.0,viet nam,tp ho chi minh,14650000
apple,iphone 13 pro,da su dung chua sua chua,het bao hanh,xanh duong,256.0,han quoc,ha noi,7500000
samsung,galaxy s10 lite,da su dung chua sua chua,bao hanh hang,xanh duong,128.0,viet nam,tp ho chi minh,2800000
apple,iphone 11 pro max,da su dung chua sua chua,3 thang,den,64.0,my,can tho,6500000
apple,iphone 15 pro max,da su dung chua sua chua,con bao hanh,mau khac,256.0,my,ha noi,22900000
apple,iphone 12 pro max,moi,1 thang,vang,128.0,my,tp ho chi minh,5700000
apple,iphone 12 pro max,da su dung chua sua chua,4-6 thang,vang,128.0,my,ha noi,12500000
apple,iphone x,da su dung chua sua chua,het bao hanh,trang,64.0,trung quoc,can tho,2880000
samsung,galaxy s23 ultra,da su dung chua sua chua,>12 thang,xanh la,256.0,viet nam,tp ho chi minh,17490000
apple,iphone xs max,da su dung chua sua chua,con bao hanh,trang,128.0,dang cap nhat,tp ho chi minh,3299999
samsung,galaxy s10e,da su dung chua sua chua,het bao hanh,bac,128.0,viet nam,can tho,1950000
samsung,galaxy note 20 ultra,da su dung chua sua chua,3 thang,vang hong,128.0,han quoc,tra vinh,8000000
apple,iphone 13 pro max,moi,3 thang,vang,128.0,my,can tho,10900000
vivo,x80,da su dung chua sua chua,het bao hanh,mau khac,256.0,trung quoc,tien giang,6500000
apple,iphone 14 pro max,da su dung chua sua chua,het bao hanh,tim,128.0,viet nam,ha noi,13600000
apple,iphone x,da su dung chua sua chua,bao hanh hang,trang,64.0,dang cap nhat,tp ho chi minh,1590000
apple,iphone 13 pro max,moi,3 thang,xanh duong,128.0,my,can tho,13500000
oppo,dong khac,da su dung chua sua chua,7-12 thang,tim,512.0,dang cap nhat,tp ho chi minh,10000000
apple,iphone xs max,da su dung chua sua chua,het bao hanh,vang hong,64.0,my,da nang,6000000
oppo,a78,da su dung chua sua chua,het bao hanh,mau khac,128.0,trung quoc,tp ho chi minh,1990000
xiaomi,redmi turbo 3,moi,het bao hanh,xanh la,256.0,nuoc khac,tp ho chi minh,4990000
oppo,a76,moi,con bao hanh,xanh duong,128.0,viet nam,tp ho chi minh,2650000
vivo,dong khac,da su dung chua sua chua,3 thang,xanh duong,256.0,dang cap nhat,can tho,15990000
apple,iphone 13 pro max,da su dung chua sua chua,het bao hanh,xanh duong,128.0,viet nam,ha noi,10200000
samsung,dong khac,da su dung chua sua chua,het bao hanh,mau khac,32.0,han quoc,tp ho chi minh,1590000
oppo,a76,moi,con bao hanh,xanh duong,128.0,viet nam,tp ho chi minh,2650000
vivo,dong khac,da su dung chua sua chua,3 thang,xanh duong,256.0,dang cap nhat,can tho,15990000
apple,iphone 13 pro max,da su dung chua sua chua,het bao hanh,xanh duong,128.0,viet nam,ha noi,10200000
samsung,dong khac,da su dung chua sua chua,het bao hanh,mau khac,32.0,han quoc,tp ho chi minh,1590000
samsung,galaxy s22 ultra,da su dung chua sua chua,bao hanh hang,trang,256.0,dang cap nhat,tp ho chi minh,8599000
oppo,reno3,da su dung chua sua chua,bao hanh hang,xanh duong,128.0,trung quoc,tp ho chi minh,1650000
nokia thong minh,c31,moi,het bao hanh,bac,128.0,viet nam,tp ho chi minh,1200000
apple,iphone 14 pro max,da su dung chua sua chua,con bao hanh,vang,128.0,viet nam,tp ho chi minh,14900000
apple,iphone 13 mini,da su dung chua sua chua,bao hanh hang,mau khac,256.0,dang cap nhat,ha noi,7400000
apple,iphone xs max,da su dung qua sua chua,bao hanh hang,den,256.0,dang cap nhat,tp ho chi minh,4800000
realme,dong khac,da su dung chua sua chua,bao hanh hang,xanh duong,64.0,viet nam,tp ho chi minh,1250000
samsung,galaxy s21,da su dung chua sua chua,bao hanh hang,xanh duong,128.0,my,ha noi,4600000
hang khac,dong khac,da su dung chua sua chua,bao hanh hang,mau khac,64.0,dang cap nhat,binh duong,1190000
apple,iphone se,da su dung chua sua chua,het bao hanh,do,128.0,my,tp ho chi minh,2900000
samsung,galaxy s21,da su dung chua sua chua,het bao hanh,xam,128.0,viet nam,tp ho chi minh,1790000
apple,iphone 7 plus,da su dung chua sua chua,het bao hanh,den,128.0,my,tp ho chi minh,750000
apple,iphone xr,da su dung qua sua chua,het bao hanh,trang,64.0,my,dong nai,3600000
apple,iphone 11,da su dung chua sua chua,bao hanh hang,den,64.0,dang cap nhat,tp ho chi minh,5200000
apple,iphone xr,da su dung qua sua chua,het bao hanh,trang,64.0,my,dong nai,3600000
apple,iphone 11,da su dung chua sua chua,bao hanh hang,den,64.0,dang cap nhat,tp ho chi minh,5200000
apple,iphone 11 pro max,da su dung chua sua chua,het bao hanh,den,64.0,my,tp ho chi minh,6500000
samsung,galaxy a20,da su dung chua sua chua,1 thang,den,32.0,viet nam,ha noi,850000
apple,iphone 13 pro max,da su dung chua sua chua,1 thang,xanh duong,128.0,nuoc khac,ha noi,10990000
apple,iphone 6s,da su dung chua sua chua,bao hanh hang,bac,64.0,dang cap nhat,tp ho chi minh,489000
apple,iphone 11,da su dung chua sua chua,het bao hanh,xanh la,128.0,my,ha noi,4999999
apple,iphone 15 pro max,da su dung chua sua chua,con bao hanh,xam,256.0,viet nam,tp ho chi minh,21000000
xiaomi,poco f5 pro,da su dung chua sua chua,bao hanh hang,den,256.0,trung quoc,ha noi,4500000
apple,iphone 6s,da su dung chua sua chua,bao hanh hang,trang,16.0,dang cap nhat,binh duong,750000
xiaomi,redmi note 9 pro,da su dung chua sua chua,bao hanh hang,xanh duong,128.0,viet nam,tp ho chi minh,2400000
apple,iphone 15 pro max,da su dung chua sua chua,con bao hanh,xam,256.0,viet nam,tp ho chi minh,23500000
oppo,a76,da su dung chua sua chua,bao hanh hang,den bong,128.0,dang cap nhat,da nang,2490000
apple,iphone 6,da su dung chua sua chua,bao hanh hang,trang,128.0,dang cap nhat,binh duong,350000
samsung,galaxy s21 plus,da su dung chua sua chua,bao hanh hang,den,128.0,viet nam,ha noi,4700000
xiaomi,dong khac,da su dung chua sua chua,bao hanh hang,trang,128.0,dang cap nhat,tp ho chi minh,3200000
apple,iphone 12 pro,da su dung qua sua chua,bao hanh hang,xanh duong,128.0,dang cap nhat,tp ho chi minh,6500000
